 ,Label,Area
1,2019-5-28_exp021#2:021_01_A1_1,20
2,2019-5-28_exp021#2:021_01_A1_1,13
3,2019-5-28_exp021#2:021_01_A1_1,6
4,2019-5-28_exp021#2:021_01_A1_1,9
5,2019-5-28_exp021#2:021_01_A1_1,4
6,2019-5-28_exp021#2:021_01_A1_1,25
7,2019-5-28_exp021#2:021_01_A1_1,12
8,2019-5-28_exp021#2:021_01_A1_1,9
9,2019-5-28_exp021#2:021_01_A1_1,8
10,2019-5-28_exp021#2:021_01_A1_1,1
11,2019-5-28_exp021#2:021_01_A1_1,6
12,2019-5-28_exp021#2:021_01_A1_1,8
13,2019-5-28_exp021#2:021_01_A1_1,47
14,2019-5-28_exp021#2:021_01_A1_1,6
15,2019-5-28_exp021#2:021_01_A1_1,2
16,2019-5-28_exp021#2:021_01_A1_1,4
17,2019-5-28_exp021#2:021_01_A1_1,8
18,2019-5-28_exp021#2:021_01_A1_1,4
19,2019-5-28_exp021#2:021_01_A1_1,10
20,2019-5-28_exp021#2:021_01_A1_1,8
21,2019-5-28_exp021#2:021_01_A1_1,1
22,2019-5-28_exp021#2:021_01_A1_1,11
23,2019-5-28_exp021#2:021_01_A1_1,17
24,2019-5-28_exp021#2:021_01_A1_1,21
25,2019-5-28_exp021#2:021_01_A1_1,5
26,2019-5-28_exp021#2:021_01_A1_1,15
27,2019-5-28_exp021#2:021_01_A1_1,9
28,2019-5-28_exp021#2:021_01_A1_1,27
29,2019-5-28_exp021#2:021_01_A1_1,18
30,2019-5-28_exp021#2:021_01_A1_1,25
31,2019-5-28_exp021#2:021_01_A1_1,2
32,2019-5-28_exp021#2:021_01_A1_1,26
33,2019-5-28_exp021#2:021_01_A1_1,3
34,2019-5-28_exp021#2:021_01_A1_1,34
35,2019-5-28_exp021#2:021_01_A1_1,10
36,2019-5-28_exp021#2:021_01_A1_1,29
37,2019-5-28_exp021#2:021_01_A1_1,28
38,2019-5-28_exp021#2:021_01_A1_1,1
39,2019-5-28_exp021#2:021_01_A1_1,6
40,2019-5-28_exp021#2:021_01_A1_1,7
41,2019-5-28_exp021#2:021_01_A1_1,17
42,2019-5-28_exp021#2:021_01_A1_1,23
43,2019-5-28_exp021#2:021_01_A1_1,25
44,2019-5-28_exp021#2:021_01_A1_1,16
45,2019-5-28_exp021#2:021_01_A1_1,17
46,2019-5-28_exp021#2:021_01_A1_1,17
47,2019-5-28_exp021#2:021_01_A1_1,27
48,2019-5-28_exp021#2:021_01_A1_1,17
49,2019-5-28_exp021#2:021_01_A1_1,16
50,2019-5-28_exp021#2:021_01_A1_1,14
51,2019-5-28_exp021#2:021_01_A1_1,28
52,2019-5-28_exp021#2:021_01_A1_1,5
53,2019-5-28_exp021#2:021_01_A1_1,33
54,2019-5-28_exp021#2:021_01_A1_1,13
55,2019-5-28_exp021#2:021_01_A1_1,66
56,2019-5-28_exp021#2:021_01_A1_1,30
57,2019-5-28_exp021#2:021_01_A1_1,13
58,2019-5-28_exp021#2:021_01_A1_1,24
59,2019-5-28_exp021#2:021_01_A1_1,13
60,2019-5-28_exp021#2:021_01_A1_1,10
61,2019-5-28_exp021#2:021_01_A1_1,16
62,2019-5-28_exp021#2:021_01_A1_1,17
63,2019-5-28_exp021#2:021_01_A1_1,20
64,2019-5-28_exp021#2:021_01_A1_1,64
65,2019-5-28_exp021#2:021_01_A1_1,9
66,2019-5-28_exp021#2:021_01_A1_1,11
67,2019-5-28_exp021#2:021_01_A1_1,71
68,2019-5-28_exp021#2:021_01_A1_1,12
69,2019-5-28_exp021#2:021_01_A1_1,146
70,2019-5-28_exp021#2:021_01_A1_1,28
71,2019-5-28_exp021#2:021_01_A1_1,36
72,2019-5-28_exp021#2:021_01_A1_1,10
73,2019-5-28_exp021#2:021_01_A1_1,17
74,2019-5-28_exp021#2:021_01_A1_1,15
75,2019-5-28_exp021#2:021_01_A1_1,13
76,2019-5-28_exp021#2:021_01_A1_1,8
77,2019-5-28_exp021#2:021_01_A1_1,19
78,2019-5-28_exp021#2:021_01_A1_1,29
79,2019-5-28_exp021#2:021_01_A1_1,23
80,2019-5-28_exp021#2:021_01_A1_1,29
81,2019-5-28_exp021#2:021_01_A1_1,50
